Origin;Destination;Number
Primorskaya;Bessarabskaya;6
Sakhalin;Bessarabskaya;0
Tobolskaya;Bessarabskaya;72
Tomskaya;Bessarabskaya;31
Yakutskaya;Bessarabskaya;3
Akmolinskaya;Bessarabskaya;19
Zakaspiyskaya;Bessarabskaya;17
Samarkandskaya;Bessarabskaya;10
Semipalatinskaya;Bessarabskaya;7
Semirechenskaya;Bessarabskaya;13
SyrDaryinskaya;Bessarabskaya;9
Turgayskaya;Bessarabskaya;1
Uralskaya;Bessarabskaya;10
Ferganskaya;Bessarabskaya;1
Arkhangelskaya;Cernomorskaya;277
Astrakhanskaya;Cernomorskaya;91
Bessarabskaya;Cernomorskaya;568
Vilenskaya;Cernomorskaya;96
Vitebskaya;Cernomorskaya;49
Vladimirskaya;Cernomorskaya;250
Vologodskaya;Cernomorskaya;28
Volhynskaya;Cernomorskaya;152
Voronezhskaya;Cernomorskaya;1865
Viatskaya;Cernomorskaya;272
Grodnenskaya;Cernomorskaya;542
VojskaDonskogo;Cernomorskaya;1449
Ekaterinoslavskaya;Cernomorskaya;853
Kazanskaya;Cernomorskaya;221
Kalugskaya;Cernomorskaya;409
Kievskaya;Cernomorskaya;569
Kovenskaya;Cernomorskaya;274
Kostromskaya;Cernomorskaya;41
Kurlandskaya;Cernomorskaya;52
Kurskaya;Cernomorskaya;1950
Liflyandskaya;Cernomorskaya;411
Minskaya;Cernomorskaya;208
Mogilevskaya;Cernomorskaya;203
Moscowskaya;Cernomorskaya;172
Nizhegorodskaya;Cernomorskaya;229
Novgorodskaya;Cernomorskaya;95
Olonetskaya;Cernomorskaya;7
Orenburgskaya;Cernomorskaya;134
Orlovskaya;Cernomorskaya;1473
Penzenskaya;Cernomorskaya;390
Permskaya;Cernomorskaya;49
Podolskaya;Cernomorskaya;1149
Poltavskaya;Cernomorskaya;1336
Pskovskaya;Cernomorskaya;85
Ryazanskaya;Cernomorskaya;778
Samaraskaya;Cernomorskaya;446
StPetersburgskaya;Cernomorskaya;118
Saratovskaya;Cernomorskaya;334
Simbirskaya;Cernomorskaya;327
Smolenskaya;Cernomorskaya;159
Tauridskaya;Cernomorskaya;1370
Tambovskaya;Cernomorskaya;1097
Tverskaya;Cernomorskaya;173
Tulskaya;Cernomorskaya;435
Ufimskaya;Cernomorskaya;89
Kharkovskaya;Cernomorskaya;1789
Khersonskaya;Cernomorskaya;1136
Chernigovskaya;Cernomorskaya;1222
Estonskaya;Cernomorskaya;350
Yaroslavskaya;Cernomorskaya;57
Warsawskaya;Cernomorskaya;101
Kaliszskaya;Cernomorskaya;26
Kieleckaya;Cernomorskaya;34
Lomzinskaya;Cernomorskaya;20
Lublinskaya;Cernomorskaya;32
Piotrkovskaya;Cernomorskaya;53
Plockaya;Cernomorskaya;12
Radomskaya;Cernomorskaya;34
Suwalkskaya;Cernomorskaya;54
Siedlcskaya;Cernomorskaya;49
Bakinskaya;Cernomorskaya;32
Dagestanskaya;Cernomorskaya;77
Elisabethpolskaya;Cernomorskaya;28
Karsskaya;Cernomorskaya;44
Kubanskaya;Cernomorskaya;2741
Kutaisskaya;Cernomorskaya;2600
Stavropolskaya;Cernomorskaya;597
Terskaya;Cernomorskaya;300
Tiflisskaya;Cernomorskaya;348
Erevanskaya;Cernomorskaya;98
Amurskaya;Cernomorskaya;1
Eniseiskaya;Cernomorskaya;2
Zabaikalskaya;Cernomorskaya;1
Irkutskaya;Cernomorskaya;4
Primorskaya;Cernomorskaya;7
Sakhalin;Cernomorskaya;0
Tobolskaya;Cernomorskaya;19
Tomskaya;Cernomorskaya;14
Yakutskaya;Cernomorskaya;3
Akmolinskaya;Cernomorskaya;0
Zakaspiyskaya;Cernomorskaya;6
Samarkandskaya;Cernomorskaya;1
Semipalatinskaya;Cernomorskaya;2
Semirechenskaya;Cernomorskaya;4
SyrDaryinskaya;Cernomorskaya;5
Turgayskaya;Cernomorskaya;1
Uralskaya;Cernomorskaya;1
Ferganskaya;Cernomorskaya;1
Arkhangelskaya;Chernigovskaya;55
Astrakhanskaya;Chernigovskaya;38
Bessarabskaya;Chernigovskaya;295
Vilenskaya;Chernigovskaya;1282
Vitebskaya;Chernigovskaya;919
Vladimirskaya;Chernigovskaya;248
Vologodskaya;Chernigovskaya;76
Volhynskaya;Chernigovskaya;1508
Voronezhskaya;Chernigovskaya;980
Viatskaya;Chernigovskaya;143
Grodnenskaya;Chernigovskaya;658
VojskaDonskogo;Chernigovskaya;243
Ekaterinoslavskaya;Chernigovskaya;429
Kazanskaya;Chernigovskaya;425
Kalugskaya;Chernigovskaya;2188
Kievskaya;Chernigovskaya;5750
Kovenskaya;Chernigovskaya;983
Kostromskaya;Chernigovskaya;145
Kurlandskaya;Chernigovskaya;252
Kurskaya;Chernigovskaya;5564
Liflyandskaya;Chernigovskaya;243
Minskaya;Chernigovskaya;4834
Mogilevskaya;Chernigovskaya;12541
Moscowskaya;Chernigovskaya;845
Nizhegorodskaya;Chernigovskaya;94
Novgorodskaya;Chernigovskaya;143
Olonetskaya;Chernigovskaya;29
Orenburgskaya;Chernigovskaya;151
Orlovskaya;Chernigovskaya;5187
Penzenskaya;Chernigovskaya;120
Permskaya;Chernigovskaya;100
Podolskaya;Chernigovskaya;1359
Poltavskaya;Chernigovskaya;8240
Pskovskaya;Chernigovskaya;94
Ryazanskaya;Chernigovskaya;216
Samaraskaya;Chernigovskaya;464
StPetersburgskaya;Chernigovskaya;668
Saratovskaya;Chernigovskaya;92
Simbirskaya;Chernigovskaya;88
Smolenskaya;Chernigovskaya;1009
Tauridskaya;Chernigovskaya;368
